year,imd,sex,<1      ,1-4,5-9,10-14,15-19   ,20-24   ,25-29   ,30-34   ,35-39   ,40-44   ,45-49   ,50-54   ,55-59   ,60-64   ,65-69   ,70-74   ,75-79   ,80-84   ,85-89   ,90+     ,All Ages
2006,5,Male,29733,110031,141601,152973,160899,172764,176526,178707,194703,194114,171769,151040,164031,136126,110457,93485,73130,49599,24003,9493,2495184
2006,5,Female,28258,104602,134524,146000,154671,170457,174312,177515,194018,193950,172425,155783,167517,141106,118106,106855,95453,78479,49453,29233,2592717
2006,6,Male,28898,108497,141242,151791,157136,158895,166209,174683,195282,197220,177552,157556,172814,144248,115914,97634,76720,50943,25367,9950,2508551
2006,6,Female,27821,103106,134979,145498,150423,152863,166252,173482,195645,199154,177684,161763,177608,150332,122215,110298,97562,79128,49890,29754,2605457
2006,7,Male,27373,105978,141417,153510,161313,152542,151779,164408,191876,199190,180310,162513,178777,150277,117712,100520,78188,51825,24779,9910,2504197
2006,7,Female,26322,101367,134385,145505,152785,146202,149444,167244,194887,202668,182648,167016,184209,155449,126016,111218,97570,78863,50144,29528,2603470
2006,8,Male,27615,108038,143182,155044,159961,142886,144633,160509,192557,200845,182362,162819,180534,150751,117769,99285,77493,50360,24535,10047,2491225
2006,8,Female,25915,101883,136471,146509,152018,137033,142867,164847,196260,205653,183090,166832,187404,156266,125511,110250,96932,76587,47551,28645,2588524
2006,9,Male,27394,109909,149143,161974,166986,138271,133173,153014,192996,206308,187204,167208,183575,152822,118066,100135,79030,51577,23999,10002,2512786
2006,9,Female,25698,104192,141190,153770,155501,125277,130124,160350,199339,211340,190053,171062,190677,158430,126385,110946,97163,76443,46294,27661,2601895
2006,10,Male,26071,112838,158179,171896,163606,120341,110304,135269,184105,209225,194500,173063,187362,153962,117051,101361,79614,51505,23924,9800,2483976
2006,10,Female,24975,107274,151068,162021,156556,109580,109805,146421,196425,220693,198040,176553,193830,158550,126218,111823,95793,73523,42634,25630,2587412
2007,1,Male,45770,164280,184158,189198,187275,202201,196998,178293,186148,176748,156729,134484,127359,108867,89752,75602,57741,37955,18404,6336,2524298
2007,1,Female,43421,157327,176001,180503,184248,223253,210332,177007,187217,179966,157642,133494,123523,109282,95394,87899,78739,63164,40087,21372,2629871
